Date,BTC
384,19128.60453
385,19145.33908
386,18996.45491
387,18863.29635
388,18382.15501
389,17900.51625
390,18786.85863
391,19136.69139
392,19108.05227
393,19716.90951
394,22699.09174
395,23857.76226
396,23524.9001
397,23156.83359
398,25158.98413
399,26672.85382
400,28780.73198
401,28826.34125
402,29126.04712
403,32402.82904
404,33129.99102
405,30864.96
406,32302.7258
407,35261.29634
408,38699.67729
409,41372.78308
410,40607.70004
411,38528.37064
412,31974.26013
413,33783.83245
414,35958.71352
415,39337.80905
416,35450.03649
417,37516.34454
418,35899.99799
419,36903.06101
420,37186.29566
421,34367.6129
422,29826.22004
423,32946.4677
424,32661.58603
425,34547.29544
426,31787.39073
427,30537.18649
428,32702.08206
429,37297.93997
430,34185.12811
431,32578.61865
432,33723.66455
433,34928.01562
434,36596.74633
435,37173.43968
436,38163.47615
437,38724.72888
438,43219.91658
439,46208.0936
440,47908.58171
441,46724.78601
442,46952.95074
443,47112.54085
444,48259.76712
445,50966.65254
446,51890.95936
447,52734.95943
448,57417.9673
449,52910.38316
450,47688.62062
451,49577.63793
452,49871.63112
453,46707.84411
454,45400.45848
455,43778.22291
456,48283.3673
457,48709.90656
458,50933.178
459,49435.91745
460,48089.4305
461,47785.55616
462,50658.693
463,50862.51663
464,54412.66053
465,55852.9939
466,56700.92557
467,55633.10491
468,59899.14984
469,60040.06
470,56272.46514
471,55171.94727
472,58023.86811
473,58665.10056
474,58573.14478
475,57362.4363
476,57211.32418
477,55209.2033
478,51907.23785
479,52968.4057
480,54418.31811
481,55769.39471
482,58101.65243
483,59210.6375
484,58747.40596
485,59159.98856
486,59936.38329
487,58395.33344
488,56861.86453
489,58526.14447
490,60457.01239
491,62732.99321
492,64391.58188
493,63075.2
494,63258.51
495,61529.92
496,60701.89
497,56191.58
498,55681.79
499,56471.13
500,53857.11
501,51739.81
502,51143.23
503,50052.83
504,49077.79
505,54030.3
506,55036.64
507,54858.09
508,53568.66
509,57714.66
510,57825.86
511,56620.27
512,57214.18
513,53252.16
514,57441.31
515,56413.95
516,57352.77
517,58877.39
518,58250.87
519,55847.24
520,56714.53
521,49735.43
522,49682.98
523,49855.49
524,46716.64
525,46415.9
526,43488.06
527,42944.98
528,36753.67
529,40596.95
530,37371.03
531,37531.45
532,34700.36
533,38795.78
534,38392.62
535,39316.89
536,38507.08
537,35684.16
538,34607.41
539,35658.59
540,37293.79
541,36699.92
542,37599.41
543,39242.49
544,36880.16
545,35538.61
546,35835.27
547,33589.52
548,33416.98
549,37389.52
550,36697.03
551,37340.14
552,35555.79
553,39016.97
554,40427.17
555,40168.69
556,38341.42
557,38099.48
558,35854.53
559,35563.14
560,35641.15
561,31622.38
562,32515.71
563,33682.8
564,34659.1
565,31594.66
566,32287.52
567,34679.12
568,34475.56
569,35908.39
570,35035.98
571,33549.6
572,33854.42
573,34665.56
574,35284.34
575,33723.51
576,34225.68
577,33889.61
578,32861.67
579,33811.24
580,33509.08
581,34254.02
582,33125.47
583,32723.85
584,32827.87
585,31841.55
586,31397.31
587,31533.88
588,31800.01
589,30838.29
590,29796.29
591,32138.87
592,32305.96
593,33593.73
594,34290.29
595,35384.03
596,37276.04
597,39503.19
598,39995.45
599,40027.48
600,42196.3
601,41460.84
602,39907.26
603,39178.4
604,38213.33
605,39744.51
606,40865.87
607,42832.8
608,44574.44
609,43791.93
610,46280.85
611,45599.7
612,45576.88
613,44439.69
614,47810.69
615,47096.67
616,47019.96
617,45936.46
618,44686.75
619,44741.88
620,46723.12
621,49327.07
622,48869.1
623,49291.68
624,49562.35
625,47727.26
626,49002.64
627,46894.56
628,49072.59
629,48911.25
630,48834.85
631,47024.34
632,47099.77
633,48807.85
634,49288.25
635,50009.33
636,49937.86
637,51769
638,52660.48
639,46827.76
640,45774.74
641,46396.66
642,44869.84
643,45206.63
644,46057.22
645,44960.05
646,47098
647,48158.91
648,47771
649,43420.84323
650,43109.7459
651,44803.20223
652,42755.82106
653,43539.08107
654,43215.68651
655,43179.96378
656,47651.02727
657,50367.94111
658,55379.69079
659,55772.47635
660,56211.24527
661,57783.65647
662,60918.83513
663,61833.94407
664,62050.12056
665,66369.54542
666,64998.28777
667,61365.68618
668,60851.99908
669,62954.91291
670,58813.589
671,61396.52989
672,62244.28473
673,61110.51504
674,60325.1005
675,60804.35777
676,63049.03873
677,62471.38177
678,61428.88508
679,60829.65902
680,61849.05125
681,65463.04479
682,66915.71024
683,68243.05357
684,64646.17351
685,63567.18276
686,64601.23543
687,64688.34933
688,65715.6513
689,59835.59122
690,60251.79532
691,57641.54243
692,57905.17184
693,58483.09311
694,59148.1334
695,58373.75605
696,56413.24725
697,56708.6096
698,58660.52469
699,54523.68222
700,54962.65331
701,54338.61008
702,57277.99705
703,58062
704,57066.58672
705,56568.752
706,56878.40074
707,48309.42993
708,49406.38037
709,48401.9498
710,51000.19803
711,50729.60704
712,47943.78868
713,49756.0021
714,48685.69461
715,49698.26931
716,47414.21727
717,47273.00544
718,48980.09291
719,49148.18931
720,47157.02456
721,46610.55224
722,45770.0733
723,46944.72057
724,48700.98006
725,48610.46144
726,48804.1613
727,51096.53103
728,50731.01894
729,50020.5183
730,51048.30284
731,48534.42041
732,47686.43845
733,47978.5855
734,46821.87949
735,47050.62372
736,47021.0878
737,46189.79514
738,46771.49797
739,41785.41631
740,41899.95629
741,42027.0303
742,42503.45899
743,41754.9102
744,41708.39678
745,43116.17623
746,43783.31058
747,42229.98426
748,43000.44989
